date,zone,moisture,temperature,humidity,irrigation_amount,recommendation
2021-04-17,SA01,81.34113814999999,35.60221354,35.11246754,0.0,hold_irrigation
2021-04-18,SA01,63.12614326,37.67828947,36.35908721,0.0,hold_irrigation
2021-04-19,SA01,52.60465269,38.38962766,34.07389654,0.0,hold_irrigation
2021-04-20,SA01,35.07522738,37.05729167,26.65708413,0.5,irrigate_now
2021-04-21,SA01,2.521822646,36.18552632,57.97884446,0.0,hold_irrigation
2021-04-22,SA01,0.329,34.63541667,71.95403179,0.0,hold_irrigation
2021-03-01,SAP01,58.7,31.04694762,33.45482278,0.5,irrigate_now
2021-03-02,SAP01,93.82944574,27.8192129,38.75175574,0.5,irrigate_now
2021-03-03,SAP01,94.1535333,28.55378383,45.63293721,0.0,hold_irrigation
2021-03-04,SAP01,88.68254297,30.17277448,52.57693264,0.0,hold_irrigation
2021-03-05,SAP01,78.40668663000001,31.50872331,55.27058914,0.5,irrigate_now
2021-03-06,SAP01,80.29149944,33.28599854,34.60347452,0.0,hold_irrigation
2021-03-07,SAP01,70.83626453,33.32204568,34.96174109,0.5,irrigate_now
2021-03-08,SAP01,84.18656793000001,33.56529222,30.85321259,0.5,irrigate_now
2021-03-09,SAP01,82.08132791,33.33340019,45.29124661,0.5,irrigate_now
2021-03-10,SAP01,80.62391852,33.03446175,48.03033465,0.0,hold_irrigation
2021-03-11,SAP01,49.923277799999994,33.46662926,50.7946277,0.0,hold_irrigation
2021-03-12,SAP01,61.827056940000006,35.21842124,30.75368005,0.5,irrigate_now
2021-03-13,SAP01,74.24070274,35.09599522,33.80551698,0.5,irrigate_now
2021-03-14,SAP01,88.90669266,34.38008799,41.19817985,0.5,irrigate_now
2021-03-15,SAP01,92.78326158,33.00192728,60.86942846,0.0,hold_irrigation
2021-03-16,SAP01,94.79425074000001,32.64912763,76.50158936,0.0,hold_irrigation
2021-03-17,SAP01,95.34436337,33.11346539,77.95824431,0.5,irrigate_now
2021-03-18,SAP01,91.00479815000001,35.32278553,44.51058974,0.5,irrigate_now
2021-03-19,SAP01,77.2736264,35.86196278,31.05195308,0.0,hold_irrigation
2021-03-20,SAP01,83.64763751000001,36.05747931,24.86688938,0.5,irrigate_now
2021-03-21,SAP01,70.82896218,36.26635165,21.77354941,0.5,irrigate_now
2021-03-22,SAP01,55.388438980000004,35.87221657,33.36624213,0.0,hold_irrigation
2021-03-23,SAP01,73.54527148,33.95309254,62.72612043,0.5,irrigate_now
2021-03-24,SAP01,95.20247083000001,33.09229416,70.80431114,0.0,hold_irrigation
2021-03-25,SAP01,73.81545859,33.12902012,65.33175368,0.0,hold_irrigation
2021-03-26,SAP01,71.40257877,31.51093129,58.22096006,0.5,irrigate_now
2021-03-27,SAP01,97.65321191000001,30.56929543,62.87654789,0.5,irrigate_now
2021-03-28,SAP01,102.2055178,31.47618797,70.26140674,0.0,hold_irrigation
2021-03-29,SAP01,94.32410336000001,34.57032233,41.64332069,0.0,hold_irrigation
2021-03-30,SAP01,76.12831446,35.45368695,33.9723133,0.5,irrigate_now
2021-03-31,SAP01,66.40817512,35.08411677,35.10954972,0.0,hold_irrigation
2021-04-01,SAP01,63.694263199999995,35.17092713,54.98581361,0.5,irrigate_now
2021-04-02,SAP01,85.29917128999999,36.25646945,33.61514184,0.5,irrigate_now
2021-04-03,SAP01,101.4962798,37.89401756,26.19529174,0.5,irrigate_now
2021-04-04,SAP01,96.42010958000002,38.08077484,26.42618217,0.5,irrigate_now
2021-04-05,SAP01,90.89288560000001,38.18021824,31.31486434,0.0,hold_irrigation
2021-04-06,SAP01,71.03877723,37.619455,45.26451329,0.5,irrigate_now
2021-04-07,SAP01,73.55682998,36.16880351,56.08624214,0.0,hold_irrigation
2021-04-08,SAP01,71.3919242,37.48006967,32.20975326,0.5,irrigate_now
2021-04-09,SAP01,87.94668105999999,36.72457389,34.67994422,0.0,hold_irrigation
2021-04-10,SAP01,77.91498886000001,35.22990495,68.72176084,0.5,irrigate_now
2021-04-11,SAP01,103.7276128,35.89582156,72.01279931,0.5,irrigate_now
2021-04-12,SAP01,104.99857550000002,36.67911739,64.68806077,0.0,hold_irrigation
2021-04-13,SAP01,80.38126756,37.48969494,60.49247521,0.0,hold_irrigation
2021-04-14,SAP01,48.16969565,37.51179005,59.09464443,0.0,hold_irrigation
2021-04-15,SAP01,26.63669261,38.15439223,40.31100949,0.0,hold_irrigation
2021-04-16,SAP01,56.523466140000004,38.08307719,44.57696348,0.5,irrigate_now
2021-04-17,SAP01,87.55435381,38.84650757,36.48020154,0.5,irrigate_now
2021-04-18,SAP01,96.49683519,39.16615076,36.69795873,0.0,hold_irrigation
2021-04-19,SAP01,81.56381487,39.34168445,35.06408949,0.5,irrigate_now
2021-04-20,SAP01,77.40539627,37.7058726,27.6225946,0.5,irrigate_now
2021-04-21,SAP01,7.24469451,36.88571098,57.78229852,0.0,hold_irrigation
2021-04-22,SAP01,0.495,33.26377993,73.52818384,0.5,irrigate_now
